Latitude,Longitude
30.20445,-97.778689
30.259109,-97.752134
30.254591,-97.723331
30.19325,-97.760126
30.204889,-97.752915
30.264877,-97.742506
30.274001,-97.749331
30.357763,-97.691557
30.271423,-97.690132
30.349685,-97.612434
30.278228,-97.744311
30.25882,-97.785822
30.240782,-97.749592
30.228092,-97.692258
30.26215,-97.726965
30.21082,-97.88669
30.37903,-97.689409
30.350775,-97.675987
30.197285,-97.750545
30.439531,-97.698093
30.28672,-97.665708
30.281189,-97.692852
30.266049,-97.7681
30.321087,-97.729393
30.180115,-97.766764
30.260314,-97.727748
30.474355,-97.796507
30.399536,-97.850806
30.41678,-97.669255
30.336767,-97.71228
30.225913,-97.762265
30.369521,-97.666527
30.223867,-97.780361
30.35122,-97.720158
30.15813,-97.743006
30.22562,-97.802735
30.27431,-97.702483
30.374166,-97.702513
30.222766,-97.781074
30.195447,-97.79642
30.212462,-97.802372
30.382991,-97.670498
30.260873,-97.758521
30.191283,-97.731155
30.324392,-97.689466
30.302555,-97.659733
30.304028,-97.660981
30.282588,-97.740912
30.277136,-97.769865
30.181124,-97.777294
30.368781,-97.693785
30.289198,-97.698333
30.22703,-97.707935
30.382991,-97.670498
30.219689,-97.786103
30.403591,-97.638453
30.290869,-97.726767
30.234283,-97.808442
30.223168,-97.734656
30.324179,-97.727466
30.244465,-97.757678
30.280765,-97.833794
30.390033,-97.646857
30.205522,-97.838471
30.365224,-97.688939
30.178961,-97.789684
30.287584,-97.740457
30.268695,-97.733968
30.19711,-97.741993
30.289456,-97.708787
30.20102,-97.778601
30.277963,-97.70351
30.371343,-97.674901
30.28759,-97.669776
30.340651,-97.69023
30.34095,-97.694749
30.273781,-97.83209
30.225513,-97.726941
30.269429,-97.689702
30.295661,-97.682206
30.308735,-97.755887
30.235666,-97.848008
30.193989,-97.68488
30.239976,-97.693049
30.342805,-97.673837
30.206058,-97.779114
30.25641,-97.747158
30.190343,-97.767086
30.358785,-97.713325
30.342106,-97.706347
30.205522,-97.838471
30.260127,-97.709495
30.325852,-97.739613
30.417577,-97.697814
30.289326,-97.734688
30.337114,-97.757291
30.313402,-97.723774
30.259244,-97.803418
30.421362,-97.845226
30.277963,-97.70351
30.15825,-97.779797
30.346159,-97.75629
30.36353,-97.722035
30.249559,-97.795198
30.357043,-97.7364
30.163993,-97.739797
30.163993,-97.739797
30.27303,-97.713703
30.26806,-97.696154
30.223293,-97.718847
30.219087,-97.735312
30.284756,-97.716237
30.197441,-97.7427
30.275344,-97.703546
30.229698,-97.796742
30.229056,-97.801325
